0	4.58575817269647e-06
1	6.328736330915834e-06
2	9.186394320449424e-06
3	1.3088986452874701e-05
4	1.7941263760013786e-05
5	2.3624798696498102e-05
6	3.0000875552375485e-05
7	3.691387603064297e-05
8	4.419507735930058e-05
9	5.166677023896042e-05
10	5.914659612095003e-05
11	6.645199795773935e-05
12	7.340467579804788e-05
13	7.983493848074706e-05
14	8.558584521754617e-05
15	9.051703598254965e-05
16	9.45081572219355e-05
17	9.74617992738624e-05
18	9.930587380619968e-05
19	9.999537324693157e-05
20	9.999373624811707e-05
21	9.997244622471324e-05
22	9.993607688700056e-05
23	9.988463921061853e-05
24	9.981814871857154e-05
25	9.973662547654445e-05
26	9.964009408684704e-05
27	9.95285836809894e-05
28	9.940212791089068e-05
29	9.926076493872339e-05
30	9.910453742539678e-05
31	9.893349251768249e-05
32	9.874768183398654e-05
33	9.854716144877159e-05
34	9.83319918756349e-05
35	9.810223804904614e-05
36	9.785796930475141e-05
37	9.759925935884892e-05
38	9.73261862855426e-05
39	9.703883249358084e-05
40	9.673728470138678e-05
41	9.642163391088834e-05
42	9.609197538005526e-05
43	9.5748408594152e-05
44	9.539103723571471e-05
45	9.50199691532617e-05
46	9.46353163287466e-05
47	9.423719484376409e-05
48	9.382572484451852e-05
49	9.340103050556586e-05
50	9.296323999233994e-05
51	9.251248542247428e-05
52	9.204890282593142e-05
53	9.15726321039512e-05
54	9.108381698683118e-05
55	9.058260499055121e-05
56	9.006914737225564e-05
57	8.954359908460658e-05
58	8.900611872902178e-05
59	8.845686850781155e-05
60	8.789601417522881e-05
61	8.732372498744736e-05
62	8.674017365148327e-05
63	8.614553627307488e-05
64	8.553999230353713e-05
65	8.492372448560622e-05
66	8.429691879829102e-05
67	8.365976440074782e-05
68	8.301245357519537e-05
69	8.23551816688873e-05
70	8.168814703515991e-05
71	8.101155097357228e-05
72	8.032559766915779e-05
73	7.963049413080442e-05
