0	4.352024526611063e-06
1	5.40293472030528e-06
2	7.13731615760572e-06
3	9.5297294716612e-06
4	1.2545083488957605e-05
5	1.613914993572398e-05
6	2.0259212164479802e-05
7	2.4844838385404863e-05
8	2.9828768061014284e-05
9	3.5137898462778107e-05
10	4.0694356919179765e-05
11	4.641664302781309e-05
12	5.222082407790618e-05
13	5.8021766149187216e-05
14	6.373438282971701e-05
15	6.92748832368841e-05
16	7.456200103597932e-05
17	7.951818642948748e-05
18	8.407074363336917e-05
19	8.815289715618412e-05
20	9.17047712412064e-05
21	9.467426810537924e-05
22	9.701783209337418e-05
23	9.870108853838049e-05
24	9.969934795901411e-05
25	9.999986775240272e-05
26	9.997344574726592e-05
27	9.990117009987204e-05
28	9.978310713411067e-05
29	9.961936519069391e-05
30	9.941009452773736e-05
31	9.915548718287536e-05
32	9.885577679703738e-05
33	9.851123840004686e-05
34	9.812218815823966e-05
35	9.768898308433333e-05
36	9.721202070981368e-05
37	9.669173872013931e-05
38	9.612861455309863e-05
39	9.552316496068812e-05
40	9.48759455349139e-05
41	9.41875501979516e-05
42	9.345861065713251e-05
43	9.268979582525618e-05
44	9.188181120676113e-05
45	9.103539825031747e-05
46	9.015133366843499e-05
47	8.923042872471141e-05
48	8.827352848937478e-05
49	8.728151106380306e-05
50	8.625528677473278e-05
51	8.519579733889582e-05
52	8.410401499885126e-05
53	8.298094163080502e-05
54	8.182760782523632e-05
55	8.064507194117421e-05
56	7.94344191349923e-05
57	7.8196760364613e-05
58	7.693323137003471e-05
59	7.564499163111783e-05
60	7.433322330358573e-05
61	7.299913013421734e-05
62	7.164393635622645e-05
63	7.026888556584175e-05
64	6.887523958111834e-05
65	6.74642772840278e-05
66	6.603729344688981e-05
67	6.459559754422164e-05
68	6.314051255109641e-05
69	6.167337372911228e-05
70	6.0195527401087194e-05
71	5.8708329715602945e-05
72	5.72131454025329e-05
73	5.571134652069487e-05
74	5.4204311198778665e-05
75	5.2693422370703617e-05
76	5.1180066506566524e-05
77	4.9665632340344704e-05
78	4.815150959552145e-05
79	4.663908770980366e-05
80	4.5129754560101455e-05
81	4.362489518894036e-05
82	4.212589053347424e-05
83	4.0634116158265573e-05
84	3.9150940992996003e-05
85	3.767772607626532e-05
86	3.621582330663171e-05
87	3.4766574202039336e-05
88	3.3331308668771854e-05
89	3.191134378106127e-05
90	3.050798257247214e-05
91	2.9122512840170345e-05
92	2.7756205963173454e-05
93	2.6410315735667252e-05
94	2.5086077216459087e-05
95	2.378470559562371e-05
96	2.2507395079381716e-05
97	2.1255317794233893e-05
98	2.0029622711356998e-05
99	1.8831434592248117e-05
100	1.7661852956585153e-05
101	1.652195107325022e-05
102	1.5412774975442632e-05
103	1.4335342500784269e-05
104	1.3290642357298932e-05
105	1.2279633216122595e-05
106	1.1303242831776817e-05
107	1.036236719081307e-05
108	9.457869689608877e-06
109	8.59058034207046e-06
110	7.761295017968877e-06
111	6.97077471260845e-06
112	6.219744848498103e-06
113	5.50889460966583e-06
114	4.838876309227667e-06
115	4.210304790791328e-06
116	3.6237568642436975e-06
117	3.079770776440123e-06
118	2.578845717281158e-06
119	2.12144136162993e-06
120	1.7079774474906653e-06
121	1.3388333908351933e-06
122	1.0143479374312136e-06
123	7.348188519915538e-07
124	5.005026449297796e-07
125	3.1161433697293394e-07
126	1.6832726184733308e-07
127	7.077290721853756e-08
128	1.9040794031430768e-08
129	1.000007867201129e-08
